Millis,Year,Month,Day,Hour,Min,TotalOdo,EngineSpeed,GasPedalPos,EngineSts,NeutralSwSts,ACPressure,ThrottlePos,EngineFrictionTorque,EngineTorgue,GasPedalAct,GasPedalGradient,ActualPedalPos,ClutchUpStop,ClutchInterLk,AnalogClutch,EngineWaterTemp,GearShiftIndication,FuelConsumptionGAG,SuggestedGearGSI,ActualGearGSI,EngineOilTemp,BrakePedalSwitchNCSts,BrakePedalSwitchNOSts,OperationModeSts,TurnIndicationSts,KeyInIgnSts,Cmdlgn_FailSts,CmdlgnSts,ExternalTemperature,ExternalTemperatureFailSts,ParkBrakeSts,BatteryChargeSts,ExternalTemperatureAD_Voltage,FuelLevel,InternalLightLevel,FuelLevelFailsSts,InternalLightSts,NotFilteredFuelLevel,BatteryStateOfFunction,CompressorACReqSts,FUEL_VOLT,BrkBstrVac,BrkTrq,BrkTrq_Driver,HSA_BrkPrss,VechileSpeedVSOCSig,CMMInterventionAct,PrefillActive,BrakeInterventionSts,ESCActive,ABSActive,MasterCylinderPressure,VechileSpeedVSOCSigFailSts,BSMShiftInterfernece,BrkPrss_One,BrkPrss_Two,SyncPos,OverSteering,UnderSteering,REF_VEH_SPEED,VehicleStandSts,BrkBstrVac_OBD,batteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Sec,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,LHFWheelSpeed,RHFWheelSpeed,LHRWheelSpeed,RHRWheelSpeed,VIN_DATA
1084,0,0,0,0,0,0,0,0,0,0,0,0,36,467,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,0,0,0,0,0,2621,0,0,0,1,75,15,36,467,0,128,0,1,1,209,75,0,0,15,0,7,1,1,4,0,0,0,4,226,0,1,11,77,72,3,0,0,46,22,1,110,90,455,456,0,0,0,0,0,0,0,76,0,0,207,204,2,0,0,0,0,115,335,99,0,168,2370,64,9594,9594,74,1,99,106,2,2,138,157,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,2020,1,14,19,3,2621,0,0,0,1,75,15,36,467,0,128,0,0,0,12,75,0,0,15,0,7,1,1,4,0,0,0,4,226,0,1,11,77,72,3,0,0,46,22,1,110,91,505,506,0,0,0,0,0,0,0,84,0,0,213,209,2,0,0,0,0,115,335,99,0,168,2370,64,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,22921,848,94,95,2,1023,247,253,129,0,0,0,0,2337
2584,2020,1,14,19,3,2621,0,0,0,1,75,15,36,467,0,128,0,1,0,169,75,0,0,15,0,7,1,1,4,0,0,0,4,226,0,1,11,77,72,3,0,0,46,22,1,110,91,625,626,0,0,0,0,0,0,0,104,0,0,226,223,2,0,0,0,0,115,335,99,0,168,2370,64,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,22921,848,94,95,2,1023,247,253,129,0,0,0,0,231713
3084,2020,1,14,19,3,2621,0,0,0,1,75,15,36,467,0,128,0,1,1,229,75,0,0,15,0,7,1,1,4,0,0,0,4,226,0,1,11,77,72,3,0,0,46,22,1,111,92,688,688,0,0,0,0,0,0,0,115,0,0,233,229,2,0,0,0,0,114,335,99,0,168,2370,64,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,22922,848,94,95,2,1023,247,253,129,0,0,0,0,231713
1091,0,0,0,0,0,0,0,0,0,0,0,0,36,512,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,0,0,0,0,0,2621,890,0,2,1,75,206,38,510,0,128,0,0,0,36,75,0,481,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,47,20,1,111,72,754,753,0,0,0,0,0,0,0,125,0,0,240,237,2,0,0,0,0,128,331,99,0,168,2490,64,9508,9508,74,1,99,106,2,2,138,157,0,2,2439,1774,22923,848,93,95,2,1023,246,255,126,0,0,0,0,0
2091,2020,1,14,19,3,2621,857,0,2,1,75,212,46,516,0,128,0,0,0,36,75,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,112,70,746,745,0,0,0,0,0,0,0,124,0,0,240,236,2,0,0,0,0,130,379,99,0,168,3180,64,10717,10717,74,1,99,106,2,2,138,157,0,2,2439,1774,22923,848,93,95,2,1023,246,255,126,0,0,0,0,0
2591,2020,1,14,19,3,2621,862,0,2,1,76,212,52,513,0,128,0,1,0,119,75,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,47,20,1,110,65,747,745,0,0,0,0,0,0,0,124,0,0,240,236,2,0,0,0,0,133,400,99,0,168,3070,64,11262,11262,74,1,99,106,2,2,138,157,0,2,2439,1774,22924,848,93,95,2,1023,246,255,126,0,0,0,0,231713
3091,2020,1,14,19,3,2621,883,0,2,1,77,212,52,506,0,128,0,0,0,56,75,0,604,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,110,62,750,750,0,0,0,0,0,0,0,125,0,0,240,236,2,0,0,0,0,135,401,99,0,168,3020,64,11293,11293,74,1,99,106,2,2,138,157,0,2,2439,1774,22924,848,93,95,2,1023,246,255,126,0,0,0,0,231713
